line_id,species,wavelength_air_A,excitation_potential_eV,log_gf,loggf_reference,gf_tier,gf_quality_class,gf_sigma_dex,gf_source_doi,DH23_matches,physical_identity_status,solar_feature_depth,depth_route,recipe_grade,reference_role,blend_flag,transition_match_required,gf_action
gf_117214,Si I,3905.523,1.9087,-1.077,VALD3,VALD3,PRIMARY_LAB_CANDIDATE_DH23,,,1,HOLD_levels_and_J_not_in_canonical_schema,0.98,DEEP_DEPTH_ROUTE,LAB_CANDIDATE_TRANSITION_HOLD,explicitly_rejected,True,yes,charge cited laboratory sigma when transition identity is confirmed
gf_117215,Si I,4102.936,1.9087,-3.026,VALD3,VALD3,PRIMARY_LAB_CANDIDATE_DH23,,,1,HOLD_levels_and_J_not_in_canonical_schema,0.919,DEEP_DEPTH_ROUTE,LAB_CANDIDATE_TRANSITION_HOLD,explicitly_rejected,True,yes,charge cited laboratory sigma when transition identity is confirmed
gf_117216,Si I,4146.4258,4.9201,-4.543,VALD3,VALD3,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117217,Si I,4159.5951,4.9296,-4.03,VALD3,VALD3,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117218,Si I,4190.23,4.9296,-3.469,VALD3,VALD3,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,0.024,BELOW_OBSERVABILITY_FLOOR,BELOW_OBSERVABILITY_FLOOR,not_in_RYA1169_source_set,True,yes,charge systematic:K07; retain line in ungraded pool
gf_117219,Si I,4197.2809,4.9538,-4.311,VALD3,VALD3,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117220,Si I,4213.038,4.93,-4.698,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117221,Si I,4247.685,4.954,-4.263,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117222,Si I,4247.906,4.954,-4.317,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117223,Si I,4248.164,4.954,-5.223,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117224,Si I,4260.428,4.93,-3.241,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117225,Si I,4290.123,4.92,-4.245,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117226,Si I,4296.087,4.954,-2.744,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117227,Si I,4304.3158,4.93,-3.7436,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
gf_117228,Si I,4310.115,4.93,-5.067,K07,KURUCZ,systematic:K07,,,0,HOLD_levels_and_J_not_in_canonical_schema,,DEPTH_UNMEASURED,DEPTH_UNMEASURED,not_in_RYA1169_source_set,,yes,charge systematic:K07; retain line in ungraded pool
