species,band,used,canonical_matched,ambiguous,verdict,note
12C16O,FUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
12C16O,NUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
12C16O,VIS,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
12C16O,RED_OPTICAL,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
12C16O,NIR,48,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
12C16O,IR,32,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
C2,FUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
C2,NUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
C2,VIS,39,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
C2,RED_OPTICAL,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
C2,NIR,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
C2,IR,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CH,FUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CH,NUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CH,VIS,6,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
CH,RED_OPTICAL,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CH,NIR,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CH,IR,48,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
CN,FUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CN,NUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CN,VIS,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CN,RED_OPTICAL,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
CN,NIR,59,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
CN,IR,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
NH,FUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
NH,NUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
NH,VIS,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
NH,RED_OPTICAL,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
NH,NIR,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
NH,IR,31,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
OH,FUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
OH,NUV,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
OH,VIS,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
OH,RED_OPTICAL,0,JOIN_NOT_RUN,JOIN_NOT_RUN,NO_AGSS21_TABLE2_LINES,Negative published selection for this used-line table
OH,NIR,15,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
OH,IR,130,JOIN_NOT_RUN,JOIN_NOT_RUN,JOIN_NOT_RUN,CDS Table 2 omits rotational quantum identity
