band,treatment,wavelength_air_A,A_kp,A_iag,delta_A
red-optical,1D-LTE,6916.68,7.487,7.477,0.01
red-optical,1D-LTE,6977.429,7.617,7.389,0.228
red-optical,1D-LTE,6999.883,7.638,7.567,0.071
red-optical,1D-LTE,7007.966,7.415,7.367,0.048
red-optical,1D-LTE,7016.39,7.925,7.459,0.466
red-optical,1D-LTE,7022.952,7.513,7.456,0.057
red-optical,1D-LTE,7071.86,6.836,6.733,0.103
red-optical,1D-LTE,7130.921,7.55,7.504,0.046
red-optical,1D-LTE,7411.153,7.476,7.448,0.028
red-optical,1D-LTE,7443.022,7.46,7.485,-0.025
red-optical,1D-LTE,7445.749,7.372,7.386,-0.014
red-optical,1D-LTE,7491.647,7.534,7.565,-0.031
red-optical,1D-LTE,7495.066,7.435,7.477,-0.042
red-optical,1D-LTE,7511.019,7.362,7.393,-0.031
red-optical,1D-LTE,7568.899,7.489,7.515,-0.026
red-optical,1D-LTE,7586.018,7.49,7.531,-0.041
red-optical,1D-LTE,7620.513,7.552,7.17,0.382
red-optical,1D-LTE,7653.758,7.481,7.145,0.336
red-optical,1D-LTE,7661.195,7.401,7.377,0.024
red-optical,1D-LTE,7664.159,7.43,7.549,-0.119
red-optical,1D-LTE,7710.363,7.277,7.278,-0.001
red-optical,1D-LTE,7937.139,7.491,7.498,-0.007
red-optical,1D-LTE,7945.846,7.456,7.485,-0.029
red-optical,1D-LTE,7998.944,7.509,7.407,0.102
red-optical,1D-LTE,8046.047,7.506,7.435,0.071
red-optical,1D-LTE,8198.921,7.393,7.391,0.002
red-optical,1D-LTE,8207.742,7.492,7.508,-0.016
red-optical,1D-LTE,8220.378,7.328,7.335,-0.007
red-optical,1D-LTE,8232.316,7.297,7.406,-0.109
red-optical,1D-LTE,8248.129,7.629,7.642,-0.013
red-optical,1D-LTE,8331.914,7.488,7.409,0.079
red-optical,1D-LTE,8339.402,7.316,7.343,-0.027
red-optical,1D-LTE,8360.794,7.505,7.523,-0.018
red-optical,1D-LTE,8432.174,5.508,5.615,-0.107
red-optical,1D-LTE,8446.384,7.427,7.42,0.007
red-optical,1D-LTE,8471.743,7.418,7.417,0.001
red-optical,1D-LTE,8526.669,7.596,7.581,0.015
red-optical,1D-LTE,8571.804,7.528,7.53,-0.002
red-optical,1D-LTE,8598.829,7.48,7.501,-0.021
red-optical,1D-LTE,8610.61,7.447,7.459,-0.012
red-optical,1D-LTE,8632.414,7.406,7.448,-0.042
red-optical,1D-LTE,8699.454,7.44,7.447,-0.007
red-optical,1D-LTE,8713.208,7.132,7.133,-0.001
red-optical,1D-LTE,8784.44,7.478,7.455,0.023
red-optical,1D-LTE,8808.17,7.427,7.41,0.017
red-optical,1D-LTE,8846.74,7.351,7.344,0.007
red-optical,1D-LTE,8866.931,7.477,7.548,-0.071
red-optical,1D-LTE,8876.024,7.537,7.535,0.002
red-optical,1D-LTE,8905.991,7.458,7.447,0.011
red-optical,1D-LTE,8945.189,7.928,7.475,0.453
red-optical,1D-LTE,9012.075,10.166,6.938,3.228
red-optical,1D-LTE,9103.636,7.63,7.5,0.13
red-optical,1D-LTE,9147.957,7.536,7.375,0.161
red-optical,1D-LTE,9163.982,8.187,7.549,0.638
red-optical,1D-LTE,9164.57,8.186,7.55,0.636
red-optical,ENGINE-A,6977.429,7.62,7.392,0.228
red-optical,ENGINE-A,6999.883,7.644,7.573,0.071
red-optical,ENGINE-A,7007.966,7.425,7.377,0.048
red-optical,ENGINE-A,7022.952,7.515,7.458,0.057
red-optical,ENGINE-A,7130.921,7.56,7.514,0.046
red-optical,ENGINE-A,7411.153,7.485,7.457,0.028
red-optical,ENGINE-A,7443.022,7.461,7.486,-0.025
red-optical,ENGINE-A,7491.647,7.547,7.578,-0.031
red-optical,ENGINE-A,7495.066,7.434,7.476,-0.042
red-optical,ENGINE-A,7511.019,7.354,7.385,-0.031
red-optical,ENGINE-A,7568.899,7.497,7.523,-0.026
red-optical,ENGINE-A,7586.018,7.489,7.53,-0.041
red-optical,ENGINE-A,7620.513,7.567,7.186,0.381
red-optical,ENGINE-A,7653.758,7.494,7.159,0.335
red-optical,ENGINE-A,7664.159,7.449,7.569,-0.12
red-optical,ENGINE-A,7945.846,7.449,7.478,-0.029
red-optical,ENGINE-A,7998.944,7.505,7.402,0.103
red-optical,ENGINE-A,8046.047,7.505,7.433,0.072
red-optical,ENGINE-A,8446.384,7.434,7.427,0.007
red-optical,ENGINE-A,8471.743,7.432,7.43,0.002
red-optical,ENGINE-A,8526.669,7.614,7.595,0.019
red-optical,ENGINE-A,8632.414,7.418,7.46,-0.042
red-optical,ENGINE-A,8699.454,7.449,7.456,-0.007
red-optical,ENGINE-A,8713.208,7.14,7.141,-0.001
red-optical,ENGINE-A,8866.931,7.475,7.546,-0.071
red-optical,ENGINE-A,8945.189,7.941,7.489,0.452
red-optical,ENGINE-A,9012.075,10.18,6.953,3.227
red-optical,ENGINE-A,9103.636,7.641,7.511,0.13
