element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,6916.68,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.154,True,,,,31.218,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,6977.429,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.383,,ENGINE-A,True,,4.593,True,,,,44.751,0.003,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,6999.883,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.566,,ENGINE-A,True,,4.103,True,,,,49.266,0.006,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,7007.966,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.393,,ENGINE-A,True,,4.178,True,,,,17.683,0.01,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,7016.39,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.154,True,,,,54.549,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,7022.952,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.442,,ENGINE-A,True,,4.191,True,,,,16.321,0.002,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,7071.86,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.607,True,,,,81.144,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,7130.921,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.505,,ENGINE-A,True,,4.218,True,,,,50.369,0.01,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,7164.448,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.4430000000000005,,ENGINE-A,True,,4.191,True,,,,39.838,0.006,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,7175.921,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.559,True,,,,17.563,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,7181.194,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.22,True,,,,51.509,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,7187.317,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.235,,ENGINE-A,True,,4.103,True,,,,36.53,-0.002,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,7207.387,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.48,,ENGINE-A,True,,4.154,True,,,,50.751,0.001,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
